Title,Price,Rating
"Python for Kids, 2nd Edition: A Playful Introduction to Programming",34.99,5.0
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,17.95,4.4
Python for Tweens and Teens - 2nd Edition (Full Color Version): Learn Computational and Algorithmic Thinking,47.97,4.5
Python Basics: A Practical Introduction to Python 3,39.99,4.6
Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language,23.99,4.6
"Invent Your Own Computer Games with Python, 4th Edition",20.49,4.7
"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters",36.98,4.7
Python All-in-One For Dummies (For Dummies (Computer/Tech)),29.99,4.6
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",53.99,4.6
Python Programming for Beginners: Python Programming Creak Course to Get Python Coding Well & Quick,0.00,5.0
Python Basics: A Practical Introduction to Python 3,9.99,4.6
Python Distilled (Developer's Library),36.46,4.6
Python and R for the Modern Data Scientist: The Best of Both Worlds,39.49,4.0
Think Python: How to Think Like a Computer Scientist,24.34,4.6
Python for Everybody: Exploring Data in Python 3,0.99,4.6
Robust Python: Write Clean and Maintainable Code,32.99,4.5
Boa Vs. Python,1.99,4.0
Monty Python and the Holy Grail (Special Edition),9.99,4.7
Practical Deep Learning: A Python-Based Introduction,36.99,4.9
Python for Data Science: A Hands-On Introduction,27.99,4.6
Think Bayes: Bayesian Statistics in Python (O'reilly),24.20,4.5
"Django 4 By Example: Build powerful and reliable Python web applications from scratch, 4th Edition",49.99,4.7
Python for Beginners: A Step-by-Step Guide to Learn Python from Zero in Just 5 Days: Includes Hands-on Projects and Exercises,0.00,3.8
Coding Games in Python (Computer Coding for Kids),13.99,4.5
Python for Algorithmic Trading: From Idea to Cloud Deployment,44.49,4.3
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,15.97,4.9
Python Programming for Beginners: The #1 Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises),19.34,(4.8)
Python and Algorithmic Thinking for the Complete Beginner (2nd Edition): Learn to Think Like a Programmer,48.98,(4.5)
Python: - The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),27.97,(4.3)
Python for Tweens and Teens - 2nd Edition (Black & White Version): Learn Computational and Algorithmic Thinking,34.99,(4.5)
"The Python Bible 7 in 1: Volumes One To Seven (Beginner, Intermediate, Data Science, Machine Learning, Finance, Neural Networks, Computer Vision)",39.99,(4.5)
"Functional Python Programming: Use a functional approach to write succinct, expressive, and efficient Python code, 3rd Edition",32.99,(5.0)
"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",24.95,(4.6)
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,0.00,(4.4)
PYTHON IN 30 DAYS: Master Python In One Month,0.00,(4.6)
"Python Object-Oriented Programming: Build robust and maintainable object-oriented Python applications and libraries, 4th Edition",38.24,(4.3)
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),25.42,(4.4)
"Fluent Python: Clear, Concise, and Effective Programming",55.29,(4.7)
Monty Python And The Holy Grail,3.99,(4.7)
The Book of Dash: Build Dashboards with Python and Plotly,34.49,(4.0)
"Python Programming: An Introduction to Computer Science, 3rd Ed.",30.98,(4.6)
Python for Tweens and Teens - 2nd Edition (Full Color Version): Learn Computational and Algorithmic Thinking,47.97,(4.5)
Become an Awesome Software Architect: Book 1: Foundation 2019,49.99,(4.2)
Python 3: The Comprehensive Guide to Hands-On Python Programming,55.48,(4.3)
Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language,23.99,(4.6)
Python: For Beginners: A Crash Course Guide To Learn Python in 1 Week,13.66,(4.3)
Python Programming for Beginners: The Ultimate Guide for Beginners to Learn Python Programming: Crash Course on Python Programming for Beginners,0.00,(5.0)
Python 2,3.99,(4.6)
El lenguaje de programación Python de principio a fin (Spanish Edition),20.58,(4.8)
"Architecture Patterns with Python: Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices",45.49,(4.6)
"Python Programming Exercises, Gently Explained",0.99,(4.9)
Python avanzado en un fin de semana (Aprende Python) (Spanish Edition),9.78,(4.6)
Monty Python's Flying Circus: The Complete Series [DVD],31.49,(4.8)
"Python Multiprocessing Jump-Start: Develop Parallel Programs, Side-Step the GIL, and Use All CPU Cores (Python Concurrency Jump-Start Series)",9.99,(5.0)
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,17.95,(4.4)
"Python Architecture Patterns: Master API design, event-driven structures, and package management in Python",41.99,(4.3)
Python Basics: A Practical Introduction to Python 3,39.99,(4.6)
Introduction to Radar With Python and Matlab,159.00,(4.2)
"Master Python Fundamentals: The Ultimate Guide for Beginners: The Best Python Book for Beginners, with 300+ Hands-on Practice Questions",0.00,(5.0)
Master Python Programming : Learn Python Like Never Before (Volume 1),0.00,(5.0)
Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,12.73,(4.6)
"Python GUI Programming with Tkinter: Design and build functional and user-friendly GUI applications, 2nd Edition",39.99,(4.4)
Python for Excel: A Modern Environment for Automation and Data Analysis,32.99,(4.6)
Python in easy steps,10.69,(4.6)
Python Pocket Reference: Python In Your Pocket (Pocket Reference (O'Reilly)),13.79,(4.5)
